"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00506870","1948-12","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",6","7",",6","3",",6","0",",6","","","4",",6","15",",6","31",",6","31",",6","0",",6","0",",6","","","19481231","+,,6","","","19481226",",,6","","","19481225",",,6","19481217",",,6","-26.7",",6,31,+","","","112",",,6,26,","5.8",",,6,25,","0.0",",6,17,","","","","","1001.6",",6","","","","","20.1",",,,6","367",",,,6","-13.98",",6","-9.90",",,,6","-18.05",",,,6","","","",""
"USC00506870","1949-09","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","0",",0","0",",0","","","19490929",",,0","19490930","+,,0","19490930","+,,0","","","19490927",",,0","19490905","+,,0","0.0",",0,29,","0",",,0,30,+","0",",,0,30,+","19.6",",,0,27,","20.6",",0,05,+","","","","","245.0",",0","","","","","64.1",",,,0","0",",,,0","10.17",",0","14.31",",,,0","6.02",",,,0","","","",""
"USC00506870","1949-10","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","9",",0","5",",0","0",",0","2",",0","2",",0","0",",0","23",",0","0",",0","0",",0","0",",0","1","","19491015",",,0","19491030","+,,0","19491030",",,0","","","19491008",",,0","19491026",",,0","-6.7",",0,15,","51",",,0,30,+","66",",,0,30,","7.1",",,0,08,","15.6",",0,26,","","","","","488.4",",0","","","","","26.5",",,,0","104",",,,0","2.58",",0","6.33",",,,0","-1.17",",,,0","","","",""
"USC00506870","1949-11","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0","1,0","7",",0","1",",0","0",",0","5",",0","2",",0","0",",0","24",",0","14","1,0","0","1,0","0","1,0","1","","19491130","+,,0","19491114",",,0","19491114",",,0","","","19491114",",,0","19491119",",1,0","-14.4",",0,30,+","51",",,0,14,","38",",,0,14,","2.5",",,0,14,","15.0","1,0,19,","","","","","590.8","1,0","","","","","8.0",",,,0","129",",,,0","-2.03","1,0","1.36","1,,,0","-5.42",",,,0","","","",""
"USC00506870","1949-12","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","7",",0","2",",0","0",",0","27",",0","3",",0","13",",0","31",",0","29",",0","0",",0","0",",0","3","","19491227",",,0","19491221","+,,0","19491219",",,0","","","19491208",",,0","19491212",",,0","-30.6",",0,27,","152",",,0,21,+","112",",,0,19,","8.4",",,0,08,","1.1",",0,12,","","","","","973.6",",0","","","","","16.8",",,,0","286",",,,0","-13.07",",0","-9.10",",,,0","-17.05",",,,0","","","",""
"USC00506870","1950-01","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","5",",0","4",",0","0",",0","31",",0","5",",0","20",",0","31",",0","31",",0","0",",0","0",",0","1","","19500111",",,0","19500105",",,0","19500101",",,0","","","19500104",",,0","19500118",",,0","-26.1",",0,11,","635",",,0,05,","152",",,0,01,","11.9",",,0,04,","0.0",",0,18,","","","","","991.9",",0","","","","","31.0",",,,0","508",",,,0","-13.66",",0","-8.65",",,,0","-18.67",",,,0","","","",""
"USC00506870","1950-02","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","0",",0","0",",0","0",",0","","","0",",0","11",",0","28",",0","25",",0","0",",0","0",",0","","","19500207",",,0","","","19500221",",,0","","","19500221",",,0","19500228",",,0","-23.9",",0,07,","","","0",",T,0,21,","0.0",",T,0,21,","2.8",",0,28,","","","","","836.0",",0","","","","","0.0",",T,,0","0",",T,,0","-11.53",",0","-7.74",",,,0","-15.31",",,,0","","","",""
"USC00506870","1950-03","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","0",",0","0",",0","","","19500311",",,0","19500326","+,,0","19500325",",,0","","","19500326","+,,0","19500320",",,0","-12.8",",0,11,","0",",T,0,26,+","13",",,0,25,","0.0",",T,0,26,+","7.8",",0,20,","","","","","575.9",",0","","","","","0.0",",T,,0","13",",,,0","-0.25",",0","3.97",",,,0","-4.46",",,,0","","","",""
"USC00506870","1950-04","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","0",",0","0",",0","","","19500403",",,0","19500430","+,,0","19500426","+,,0","","","19500427","+,,0","19500425","+,,0","-11.1",",0,03,","0",",,0,30,+","0",",T,0,26,+","0.3",",,0,27,+","12.2",",0,25,+","","","","","467.5",",0","","","","","0.6",",,,0","0",",T,,0","2.75",",0","7.53",",,,0","-2.03",",,,0","","","",""
"USC00506870","1950-05","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","0",",0","0",",0","","","19500520","+,,0","19500531","+,,0","19500531","+,,0","","","19500528",",,0","19500526",",,0","-0.6",",0,20,+","0",",,0,31,+","0",",,0,31,+","1.3",",,0,28,","18.9",",0,26,","","","","","316.3",",0","","","","","1.6",",,,0","0",",,,0","8.13",",0","13.48",",,,0","2.78",",,,0","","","",""
