"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00389350","1899-12","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","18991228",",,6","","","","","","","","","","","0",",T,6,28,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",T,,6","","","","","","","",""
"USC00389350","1900-01","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","0.0","6","0.0",",6","8",",6","6",",6","0",",6","","","0",",6","0",",6","14",",6","0",",6","0",",6","0",",6","1","","19000102",",,6","","","19000129",",,6","","","19000111",",,6","19000115",",,6","-12.8",",6,02,","","","8",",,6,29,","22.4",",,6,11,","20.0",",6,15,","","","","","","","377.8",",6","","","","","","","","","","","","","","","43.1",",,,6","8",",,,6","6.15",",6","12.21",",,,6","0.09",",,,6","",""
"USC00389350","1900-02","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","0.0","6","0.0",",6","14",",6","7",",6","2",",6","","","0",",6","0",",6","16",",6","1",",6","0",",6","0",",6","2","","19000218",",,6","","","19000217",",,6","","","19000213",",,6","19000213",",,6","-13.3",",6,18,","","","13",",,6,17,","29.5",",,6,13,","20.0",",6,13,","","","","","","","367.5",",6","","","","","","","","","","","","","","","128.1",",,,6","13",",,,6","5.21",",6","10.79",",,,6","-0.38",",,,6","",""
"USC00389350","1900-03","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","0.0","6","0.0","2,6","9",",6","7",",6","2",",6","","","0",",6","0","1,6","8","1,6","0","1,6","3","1,6","0","1,6","","","19000317",",1,6","","","19000331","+,,6","","","19000308",",,6","19000329",",1,6","-3.9","1,6,17,","","","0",",,6,31,+","38.9",",,6,08,","21.7","1,6,29,","","","","","","","228.0","1,6","","","","","","","","","","","","","","","133.1",",,,6","0",",,,6","10.36","2,6","16.61","1,,,6","4.12","1,,,6","",""
"USC00389350","1900-04","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","23.9","6","23.9",",6","10",",6","8",",6","2",",6","","","","","0",",6","2",",6","0",",6","19",",6","0",",6","","","19000401",",,6","","","","","","","19000418",",,6","19000430","+,,6","-1.7",",6,01,","","","","","53.3",",,6,18,","29.4",",6,30,+","","","","","","","90.2",",6","","","","","","","","","","","","","","","130.4",",,,6","","","16.12",",6","22.35",",,,6","9.90",",,,6","",""
"USC00389350","1900-05","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","115.4","6","91.5",",6","6",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","4",",6","","","19000510",",,6","","","","","","","19000518",",,6","19000514",",,6","7.2",",6,10,","","","","","27.7",",,6,18,","33.3",",6,14,","","","","","","","7.5",",6","","","","","","","","","","","","","","","75.2",",,,6","","","21.04",",6","27.70",",,,6","14.39",",,,6","",""
"USC00389350","1900-06","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","292.3","6","176.9","3,6","12",",6","9",",6","2",",6","","","","","0","2,6","0","2,6","0","3,6","27","3,6","8","3,6","","","19000619",",2,6","","","","","","","19000622",",,6","19000612",",3,6","13.3","2,6,19,","","","","","67.8",",,6,22,","33.9","3,6,12,","","","","","","","0.0","3,6","","","","","","","","","","","","","","","165.0",",,,6","","","24.88","3,6","30.08","3,,,6","19.68","2,,,6","",""
"USC00389350","1900-07","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","568.0","6","275.7",",6","10",",6","8",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","22",",6","","","19000710",",,6","","","","","","","19000730",",,6","19000721",",,6","15.0",",6,10,","","","","","19.8",",,6,30,","37.8",",6,21,","","","0.0","6","","","0.0",",6","","","","","","","","","","","","","","","83.3",",,,6","","","27.23",",6","33.41",",,,6","21.04",",,,6","",""
"USC00389350","1900-08","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","877.4","6","309.4",",6","6",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","29",",6","","","19000817",",,6","","","","","","","19000817",",,6","19000816","+,,6","16.7",",6,17,","","","","","25.7",",,6,17,","37.8",",6,16,+","","","0.0","6","","","0.0",",6","","","","","","","","","","","","","","","40.4",",,,6","","","28.31",",6","35.20",",,,6","21.42",",,,6","",""
"USC00389350","1900-09","34.9378","-81.0374","198.1","WINTHROP UNIVERSITY, SC US","1084.0","6","206.6",",6","4",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","18",",6","","","19000919","+,,6","","","","","","","19000930",",,6","19000912",",,6","11.1",",6,19,+","","","","","22.9",",,6,30,","36.1",",6,12,","","","0.8","6","","","0.8",",6","","","","","","","","","","","","","","","45.3",",,,6","","","25.19",",6","31.81",",,,6","18.58",",,,6","",""
