"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003957","1998-03","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","","","","","2.8",",M","","","","","","","","","","","0",",M","18",",M","3",",M","4",",M","0",",M","19980310",",,M","","","","","","","19980325",",,M","-13.3",",M,10,","","","","","","","27.2",",M,25,","","","417.8",",M","","","","","","","","","","","4.95",",M","10.59",",,,M","-0.70",",,,M","","","","","","","","","",""
"USW00003957","1998-04","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","5.2",",W","","","6.1",",W","6",",W","3",",W","0",",W","","","","","0",",W","4",",W","0",",W","13",",W","0",",W","19980404",",,W","","","","","19980427",",,W","19980425","+,,W","-1.7",",W,04,","","","","","14.2",",,W,27,","29.4",",W,25,+","","","187.5",",W","24.4",",,,W","","","","","","","","","12.29",",W","19.32",",,,W","5.25",",,,W","","","190",",W","190",",W","16.1",",W","21.0",",W"
"USW00003957","1998-05","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","4.3",",W","","","106.3",",W","9",",W","2",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","7",",W","19980503",",,W","","","","","19980515",",,W","19980530",",,W","4.4",",W,03,","","","","","14.7",",,W,15,","37.2",",W,30,","","","20.3",",W","25.6",",,,W","","","","","","","","","21.11",",W","27.94",",,,W","14.28",",,,W","","","80",",W","310",",W","21.5",",W","37.6",",W"
"USW00003957","1998-06","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","5.4",",W","","","236.2",",W","6",",W","3",",W","0",",W","","","","","0",",W","0",",W","0",",W","28",",W","22",",W","19980606",",,W","","","","","19980608",",,W","19980627",",,W","6.7",",W,06,","","","","","5.6",",,W,08,","42.2",",W,27,","","","11.4",",W","14.7",",,,W","","","","","","","","","25.83",",W","33.96",",,,W","17.69",",,,W","","","20",",W","20",",W","16.5",",W","19.7",",W"
"USW00003957","1998-10","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","4.5","3,W","","","19.2","2,W","10","2,W","6","2,W","1","2,W","","","","","0","2,W","0","2,W","0","2,W","19","2,W","0","2,W","19981022",",2,W","","","","","19981031",",2,W","19981014",",2,W","1.7","2,W,22,","","","","","130.3","2,,W,31,","30.0","2,W,14,","","","90.6","2,W","208.8","2,,,W","","","","","","","","","15.87","2,W","22.11","2,,,W","9.63","2,,,W","","","230","3,W","210","2,","13.4","3,W","18.3","2,W"
"USW00003957","1998-11","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","","","","","0.0",",W","10",",W","5",",W","1",",W","","","","","0",",W","5",",W","0",",W","3",",W","0",",W","19981120","+,,W","","","","","19981101",",,W","19981118",",,W","-2.8",",W,20,+","","","","","26.7",",,W,01,","22.2",",W,18,","","","271.9",",W","49.9",",,,W","","","","","","","","","9.27",",W","15.21",",,,W","3.33",",,,W","","","","","310",",W","","","19.7",",W"
"USW00003957","1998-12","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","3.9",",W","","","0.0",",W","8",",W","2",",W","0",",W","","","","","1",",W","24",",W","6",",W","1",",W","0",",W","19981222",",,W","","","","","19981203",",,W","19981201",",,W","-18.3",",W,22,","","","","","4.6",",,W,03,","21.7",",W,01,","","","493.3",",W","10.6",",,,W","","","","","","","","","2.42",",W","8.69",",,,W","-3.85",",,,W","","","20",",W","20",",W","13.9",",W","17.0",",W"
"USW00003957","1999-01","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","4.6",",W","0.0","0","0.0",",W","6",",W","3",",W","2",",W","","","","","0",",W","26",",W","5",",W","0",",W","0",",W","19990103",",,W","","","","","19990130",",,W","19990111",",,W","-15.6",",W,03,","","","","","28.4",",,W,30,","18.9",",W,11,","","","534.2",",W","59.0",",,,W","","","","","","","","","1.10",",W","7.27",",,,W","-5.07",",,,W","","","330",",W","330",",W","17.4",",W","21.9",",W"
"USW00003957","1999-02","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","4.8",",W","0.0","0","0.0",",W","4",",W","1",",W","0",",W","","","","","0",",W","18",",W","0",",W","3",",W","0",",W","19990213","+,,W","","","","","19990206",",,W","19990226",",,W","-5.6",",W,13,+","","","","","6.6",",,W,06,","25.6",",W,26,","","","301.7",",W","7.5",",,,W","","","","","","","","","7.56",",W","15.13",",,,W","-0.01",",,,W","","","340",",W","340",",W","20.1",",W","24.6",",W"
"USW00003957","1999-03","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","5.1",",X","0.0","0","0.0",",0","10",",0","5",",0","0",",0","","","1",",Z","0",",0","13",",0","0",",0","4",",0","0",",0","19990314",",,0","","","19990313",",,Z","19990312",",,0","19990301",",,0","-6.7",",0,14,","","","203",",,Z,13,","23.6",",,0,12,","26.7",",0,01,","","","352.9",",0","70.2",",,,0","","","","","","","203",",,,Z","6.95",",0","12.80",",,,0","1.10",",,,0","","","360",",X","10",",X","17.0",",X","21.9",",X"
"USW00003957","1999-04","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","5.3",",X","5.9","0","5.9",",0","12",",0","8",",0","1",",0","","","0",",0","0",",0","2",",0","0",",0","13",",0","0",",0","19990418",",,0","","","19990430","+,,0","19990413",",,0","19990420",",,0","-1.1",",0,18,","","","0",",,0,30,+","29.7",",,0,13,","30.6",",0,20,","","","160.7",",0","126.1",",,,0","","","","","","","0",",,,0","13.17",",0","19.37",",,,0","6.98",",,,0","","","330",",X","340",",X","21.9",",X","27.7",",X"
"USW00003957","1999-05","37.2839","-98.5528","467.9","MEDICINE LODGE 1 E, KS US","","","","","","","","","4.7",",X","61.6","0","55.7",",0","12",",0","8",",0","2",",0","","","0",",0","0",",0","0",",0","0",",0","28",",0","1",",0","19990507",",,0","","","19990531","+,,0","19990511",",,0","19990516",",,0","3.9",",0,07,","","","0",",,0,31,+","47.8",",,0,11,","33.3",",0,16,","","","38.0",",0","142.3",",,,0","","","","","","","0",",,,0","18.90",",0","25.57",",,,0","12.24",",,,0","","","20",",X","200",",X","14.8",",X","20.1",",X"
