"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00362942","1943-07","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00362942","1943-08","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","130.5",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","1","","19430820","+,,0","19430831","+,,0","19430831","+,,0","","","19430805",",,0","19430812",",,0","6.7",",0,20,+","0",",,0,31,+","0",",,0,31,+","23.6",",,0,05,","33.3",",0,12,","","","7.8","","8.8",",0","","","59.4",",,,0","0",",,,0","22.26",",0","27.96",",,,0","16.56",",,,0","",""
"USC00362942","1943-09","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","39.6",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","22",",0","1",",0","2","","19430927","+,,0","19430930","+,,0","19430930","+,,0","","","19430905",",,0","19430901",",,0","-0.6",",0,27,+","0",",,0,30,+","0",",,0,30,+","10.2",",,0,05,","33.3",",0,01,","","","105.2","","97.4",",0","","","34.9",",,,0","0",",,,0","16.41",",0","24.37",",,,0","8.44",",,,0","",""
"USC00362942","1943-10","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","0.6",",0","11",",0","9",",0","1",",0","0",",0","0",",0","0",",0","13",",0","0",",0","12",",0","0",",0","10","","19431021",",,0","19431031","+,,0","19431019",",,0","","","19431016",",,0","19431014","+,,0","-3.3",",0,21,","0",",,0,31,+","0",",T,0,19,","32.5",",,0,16,","26.1",",0,14,+","","","383.8","","278.6",",0","","","91.7",",,,0","0",",T,,0","9.36",",0","16.67",",,,0","2.06",",,,0","",""
"USC00362942","1943-11","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","25",",0","","","","","","","","","19431129",",,0","19431130","+,,0","19431130","+,,0","","","19431116",",,0","","","-8.3",",0,29,","0",",,0,30,+","0",",,0,30,+","21.3",",,0,16,","","","","","","","","","","","44.6",",,,0","0",",,,0","","","","","-2.89",",,,0","",""
"USC00362942","1943-12","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","0.0",",0","4",",0","2",",0","0",",0","1",",0","0",",0","3",",0","27",",0","9",",0","0",",0","0",",0","","","19431215",",,0","19431220",",,0","19431220",",,0","","","19431227",",,0","19431206",",,0","-21.7",",0,15,","25",",,0,20,","13",",,0,20,","21.8",",,0,27,","12.2",",0,06,","","","","","625.3",",0","","","28.4",",,,0","13",",,,0","-1.84",",0","3.84",",,,0","-7.52",",,,0","",""
"USC00362942","1944-01","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0",",0","6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","28",",0","6",",0","0",",0","0",",0","1","","19440111",",,0","19440114","+,,0","19440107",",,0","","","19440104",",,0","19440128","+,,0","-13.9",",0,11,","0",",T,0,14,+","3",",,0,07,","29.5",",,0,04,","15.6",",0,28,+","","","","","576.5",",0","","","61.1",",,,0","3",",,,0","-0.26",",0","5.25",",,,0","-5.78",",,,0","",""
"USC00362942","1944-02","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0",",0","10",",0","7",",0","0",",0","8",",0","4",",0","3",",0","25",",0","4",",0","0",",0","0",",0","1","","19440219","+,,0","19440214","+,,0","19440212",",,0","","","19440227",",,0","19440223",",,0","-19.4",",0,19,+","102",",,0,14,+","58",",,0,12,","13.5",",,0,27,","14.4",",0,23,","","","","","570.3",",0","","","44.9",",,,0","216",",,,0","-1.33",",0","5.28",",,,0","-7.94",",,,0","",""
"USC00362942","1944-03","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0",",0","17",",0","10",",0","0",",0","7",",0","4",",0","0",",0","25",",0","5",",0","1",",0","0",",0","","","19440302",",,0","19440305",",,0","19440305",",,0","","","19440317","+,,0","19440315",",,0","-12.8",",0,02,","152",",,0,05,","152",",,0,05,","19.1",",,0,17,+","22.8",",0,15,","","","","","518.3",",0","","","122.3",",,,0","278",",,,0","1.61",",0","7.92",",,,0","-4.69",",,,0","",""
"USC00362942","1944-04","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0",",0","17",",0","11",",0","0",",0","1",",0","1","1,0","0",",0","14",",0","1",",0","3",",0","0",",0","","","19440405",",,0","19440405",",,0","19440405",",1,0","1","","19440408",",,0","19440430",",,0","-9.4",",0,05,","51",",,0,05,","38","1,,0,05,","15.2",",,0,08,","25.0",",0,30,","","","","","318.9",",0","","","76.4",",,,0","38","1,,,0","7.70",",0","14.66",",,,0","0.74",",,,0","",""
"USC00362942","1944-05","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","41.3","0","41.3",",0","12",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","2","","19440508",",,0","19440531","+,,0","19440531","+,,0","1","","19440524",",,0","19440531",",,0","2.2",",0,08,","0",",,0,31,+","0",",,0,31,+","30.0",",,0,24,","30.6",",0,31,","","","","","38.6",",0","","","105.7",",,,0","0",",,,0","18.42",",0","26.42",",,,0","10.42",",,,0","",""
"USC00362942","1944-06","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","133.5","0","92.2",",0","14",",0","10",",0","3",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","30",",0","6",",0","","","19440608",",,0","19440630","+,,0","19440630","+,1,0","4","","19440602",",,0","19440629","+,,0","3.3",",0,08,","0",",,0,30,+","0","1,,0,30,+","30.2",",,0,02,","34.4",",0,29,+","","","","","8.6",",0","","","145.4",",,,0","0","1,,,0","21.12",",0","28.81",",,,0","13.43",",,,0","",""
"USC00362942","1944-07","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","230.8","0","97.3",",0","8",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","3","","19440717",",,0","19440731","+,,0","19440731","+,,0","2","","19440713",",,0","19440712","+,,0","7.2",",0,17,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,13,","33.3",",0,12,+","","","2.5","0","2.5",",0","","","73.6",",,,0","0",",,,0","21.39",",0","29.80",",,,0","12.98",",,,0","",""
"USC00362942","1944-08","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","348.9","0","118.1",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","7","","19440826",",,0","19440831","+,,0","19440831","+,,0","1","","19440822",",,0","19440814","+,,0","5.0",",0,26,","0",",,0,31,+","0",",,0,31,+","32.5",",,0,22,","35.6",",0,14,+","","","17.2","0","14.7",",0","","","109.8",",,,0","0",",,,0","21.67",",0","29.94",",,,0","13.39",",,,0","",""
"USC00362942","1944-09","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","377.8","0","28.9",",0","12",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","13","","19440924",",,0","19440930","+,,0","19440930","+,,0","1","","19440901",",,0","19440911",",,0","1.1",",0,24,","0",",,0,30,+","0",",,0,30,+","29.0",",,0,01,","30.6",",0,11,","","","68.1","0","50.9",",0","","","87.7",",,,0","0",",,,0","17.60",",0","25.26",",,,0","9.94",",,,0","",""
"USC00362942","1944-10","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","385.9","0","8.1",",0","14",",0","6",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0",",0","17",",0","0",",0","6","","19441023",",,0","19441031","+,,0","19441031","+,,0","","","19441021",",,0","19441007",",,0","-5.6",",0,23,","0",",,0,31,+","0",",,0,31,+","32.0",",,0,21,","28.9",",0,07,","","","274.6","0","206.5",",0","","","79.7",",,,0","0",",,,0","11.93",",0","20.57",",,,0","3.30",",,,0","",""
"USC00362942","1944-11","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","385.9","0","0.0",",0","14",",0","9",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","8",",0","0",",0","2","","19441126",",,0","19441130","+,,0","19441124",",,0","1","","19441116",",,0","19441109","+,,0","-8.3",",0,26,","0",",T,0,30,+","5",",,0,24,","19.8",",,0,16,","24.4",",0,09,+","","","608.7","0","334.1",",0","","","65.1",",,,0","5",",,,0","7.20",",0","14.18",",,,0","0.21",",,,0","",""
"USC00362942","1944-12","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","385.9","0","0.0",",0","13",",0","7",",0","1",",0","20",",0","7",",0","2",",0","30",",0","2",",0","0",",0","0",",0","1","","19441222",",,0","19441215",",,0","19441212",",,0","","","19441212",",,0","19441205",",,0","-26.7",",0,22,","406",",,0,15,","305",",,0,12,","27.9",",,0,12,","13.9",",0,05,","","","1232.2","0","623.5",",0","","","99.2",",,,0","571",",,,0","-1.78",",0","4.87",",,,0","-8.43",",,,0","",""
