"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00369340","1943-08","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","19430814",",,6","","","","","","","41.7",",,6,14,","99.9",",,,6","","","",""
"USC00369340","1943-10","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","12",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","19431027",",,6","","","","","","","33.8",",,6,27,","149.6",",,,6","","","",""
"USC00369340","1943-11","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","8",",6","5",",6","1",",6","1",",6","0",",6","","","","","","","","","19431115",",,6","19431128","+,,6","","","19431109",",,6","","","25",",,6,15,","0",",T,6,28,+","31.2",",,6,09,","73.1",",,,6","0",",T,,6","",""
"USC00369340","1943-12","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","4",",6","1",",6","0",",6","11",",6","0",",6","","","","","","","","","19431222","+,,6","19431221","+,,6","","","19431227",",,6","","","51",",,6,22,+","13",",,6,21,+","17.0",",,6,27,","19.6",",,,6","26",",,,6","",""
"USC00369340","1944-01","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","6",",6","4",",6","0",",6","23",",6","2",",6","","","","","","","","","19440125","+,,6","19440106",",,6","","","19440104",",,6","","","102",",,6,25,+","64",",,6,06,","7.9",",,6,04,","23.4",",,,6","102",",,,6","",""
"USC00369340","1944-02","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","8",",6","5",",6","0",",6","23","3,6","5","1,6","2",",","28",",6","","","19440219",",,6","19440218","+,3,6","19440212",",1,6","","","19440223",",,6","-20.0",",6,19,","254","3,,6,18,+","140","1,,6,12,","16.5",",,6,23,","53.2",",,,6","317","1,,,6","-7.23",",,,6"
"USC00369340","1944-03","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","11",",6","7",",6","0",",6","19","3,6","4","2,6","0",",","27",",6","","","19440319",",,6","19440311","+,3,6","19440304",",2,6","","","19440307",",,6","-16.1",",6,19,","178","3,,6,11,+","89","2,,6,04,","15.5",",,6,07,","69.7",",,,6","229","2,,,6","-5.73",",,,6"
"USC00369340","1944-04","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","13",",6","12",",6","0",",6","2",",6","1",",6","0","1,","13","1,6","","","19440405",",1,6","19440405",",,6","19440405",",,6","","","19440412",",,6","-10.6","1,6,05,","76",",,6,05,","64",",,6,05,","17.8",",,6,12,","78.2",",,,6","64",",,,6","0.64","1,,,6"
"USC00369340","1944-05","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","13",",6","10",",6","1",",6","","","","","0",",","0",",6","","","19440519","+,,6","","","","","","","19440507",",,6","2.8",",6,19,+","","","","","56.6",",,6,07,","132.6",",,,6","","","12.72",",,,6"
"USC00369340","1944-06","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","13","1,6","11","1,6","1","1,6","","","","","0",",","0",",6","","","19440608",",,6","","","","","","","19440619",",1,6","5.0",",6,08,","","","","","58.9","1,,6,19,","134.7","1,,,6","","","14.59",",,,6"
"USC00369340","1944-07","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","6",",6","5",",6","0",",6","","","","","0","1,","0","1,6","","","19440722",",1,6","","","","","","","19440713",",,6","11.1","1,6,22,","","","","","23.1",",,6,13,","63.7",",,,6","","","16.47","1,,,6"
"USC00369340","1944-08","41.61667","-77.55","737.9","WATROUS 9 S LEE FIRE, PA US","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","19440824",",,6","","","","","","","12.4",",,6,24,","43.5",",,,6","","","",""
