"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00028569","2009-11","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","","","55.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","3",",0","20091115",",,0","20091130","+,,0","20091130","+,,0","20091130","+,,0","20091104",",,0","2.2",",0,15,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","36.1",",0,04,","66.9",",0","0.0",",,,0","0",",,,0","17.93",",0","26.15",",,,0","9.72",",,,0"
"USC00028569","2009-12","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","","","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","8",",0","0",",0","20091228","+,,0","20091231","+,,0","20091231","+,,0","20091208",",,0","20091201",",,0","-2.2",",0,28,+","0",",,0,31,+","0",",,0,31,+","6.4",",,0,08,","27.2",",0,01,","247.4",",0","6.4",",,,0","0",",,,0","10.35",",0","17.58",",,,0","3.12",",,,0"
"USC00028569","2010-01","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","0.0","","0.0","2,0","2",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","2","2,0","0","1,0","13","1,0","0","1,0","20100125","+,2,0","20100131","+,,0","20100131","+,,0","20100122",",,0","20100113",",1,0","-0.6","2,0,25,+","0",",,0,31,+","0",",,0,31,+","10.2",",,0,22,","25.0","1,0,13,","192.7","1,0","17.8",",,,0","0",",,,0","11.68","2,0","18.68","1,,,0","4.69","2,,,0"
"USC00028569","2010-02","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","0.0","","0.0",",0","0","1,0","0","1,0","0","1,0","0",",0","0",",0","0",",0","1",",0","0",",0","8",",0","0",",0","20100223",",,0","20100228","+,,0","20100228","+,,0","20100228","+,1,0","20100217",",,0","-1.7",",0,23,","0",",,0,28,+","0",",,0,28,+","0.0","1,,0,28,+","23.9",",0,17,","200.4",",0","34.3",",a,,0","0",",,,0","11.18",",0","18.01",",,,0","4.35",",,,0"
"USC00028569","2010-03","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","10.3","","10.3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","20100310",",,0","20100331","+,,0","20100331","+,,0","20100324",",,0","20100318",",,0","0.6",",0,10,","0",",,0,31,+","0",",,0,31,+","2.0",",,0,24,","31.7",",0,18,","136.5",",0","2.0",",,,0","0",",,,0","14.26",",0","22.16",",,,0","6.36",",,,0"
"USC00028569","2010-04","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","50.5","","40.2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","20100426","+,,0","20100430","+,,0","20100430","+,,0","20100430","+,,0","20100416",",,0","3.9",",0,26,+","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","32.2",",0,16,","53.3",",0","0.0",",,,0","0",",,,0","17.90",",0","26.06",",,,0","9.73",",,,0"
"USC00028569","2010-05","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","171.3","","120.8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","20100526","+,,0","20100531","+,,0","20100531","+,,0","20100531","+,,0","20100527",",,0","5.0",",0,26,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","36.1",",0,27,","10.0",",0","0.0",",,,0","0",",,,0","21.91",",0","30.43",",,,0","13.38",",,,0"
"USC00028569","2010-06","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","444.0","","272.7","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","28",",0","20100607",",1,0","20100630","+,,0","20100630","+,,0","20100630","+,,0","20100630","+,,0","3.9","1,0,07,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","42.2",",0,30,+","0.0",",0","0.0",",,,0","0",",,,0","27.82","1,0","37.23",",,,0","18.42","1,,,0"
"USC00028569","2010-07","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","","","","","5",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","20100731","+,,0","20100731","+,,0","20100727",",,0","","","","","0",",,0,31,+","0",",,0,31,+","13.2",",,0,27,","","","","","28.2",",,,0","0",",,,0","","","","","",""
"USC00028569","2011-04","32.0138","-111.2638","975.4","THREE POINTS FIRE DEPARTMENT, AZ US","","","90.2","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","6","2,7","20110410",",2,7","20110430","+,2,7","20110430","+,2,7","20110430","+,2,7","20110402",",2,7","3.9","2,7,10,","0","2,,7,30,+","0","2,,7,30,+","0.0","2,,7,30,+","35.0","2,7,02,","11.6","2,7","0.0","2,,,7","0","2,,,7","21.14","2,7","28.87","2,,,7","13.41","2,,,7"
