"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00040176","1948-07","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0","1,0","0","1,0","0","1,0","","","","","","","","","","","","","","","","","19480731","+,1,0","","","","","","","0.0","1,,0,31,+","","","","","","","0.0","1,,,0","","","","","","","","","",""
"USC00040176","1948-08","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19480803",",,0","","","","","","","1.8",",,0,03,","","","","","","","1.8",",,,0","","","","","","","","","",""
"USC00040176","1948-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19480930","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1948-10","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","2",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","19481017",",,0","","","","","","","13.2",",,0,17,","","","","","","","17.3",",,,0","","","","","","","","","",""
"USC00040176","1948-11","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19481130","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1948-12","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19481216",",,0","","","","","","","2.3",",,0,16,","","","","","","","3.3",",,,0","","","","","","","","","",""
"USC00040176","1949-01","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","4","2,0","2","2,0","0","2,0","","","","","","","","","","","","","","","","","19490112",",2,0","","","","","","","17.5","2,,0,12,","","","","","","","50.1",",a,,0","","","","","","","","","",""
"USC00040176","1949-02","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19490228","+,,0","","","","","","","0.0",",,0,28,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1949-03","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19490331",",,0","","","","","","","1.5",",,0,31,","","","","","","","1.5",",,,0","","","","","","","","","",""
"USC00040176","1949-04","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19490430","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1949-05","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19490531","+,,0","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1949-06","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19490630","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1949-07","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19490731","+,,0","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1949-08","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","19490822",",,0","","","","","","","9.7",",,0,22,","","","","","","","9.7",",,,0","","","","","","","","","",""
"USC00040176","1949-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19490926",",,0","","","","","","","0.3",",,0,26,","","","","","","","0.3",",,,0","","","","","","","","","",""
"USC00040176","1949-10","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19491031","+,,0","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1949-11","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19491110",",,0","","","","","","","2.3",",,0,10,","","","","","","","2.3",",,,0","","","","","","","","","",""
"USC00040176","1950-05","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19500531","+,,0","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1950-06","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19500630","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1950-07","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0","2,0","0","2,0","0","2,0","","","","","","","","","","","","","","","","","19500731","+,2,0","","","","","","","0.0","2,,0,31,+","","","","","","","0.0","2,,,0","","","","","","","","","",""
"USC00040176","1950-08","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19500831","+,,0","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1950-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","19500907",",,0","","","","","","","10.7",",,0,07,","","","","","","","10.7",",,,0","","","","","","","","","",""
"USC00040176","1950-10","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19501031","+,,0","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1950-11","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19501130","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
