"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00364325","1931-10","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","","","14",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","19311017",",,6","","","","","","","","","32.5",",,6,17,","","","","","","","","","","","","","85.7",",,,6","","","","","","","","","",""
"USC00364325","1932-03","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","0.0","1,6","","","","","","","","","","","0",",6","28",",6","11","1,6","0","1,6","0","1,6","","","19320308",",,6","","","","","","","19320330",",1,6","-16.7",",6,08,","","","","","","","19.4","1,6,30,","","","","","607.9","1,6","","","","","","","","","-1.92","1,6","2.99","1,,,6","-6.83",",,,6","",""
"USC00364325","1932-04","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","0.0","5,6","","","","","","","","","","","0","4,6","15","4,6","0","2,6","4","2,6","0","2,6","","","19320416","+,4,6","","","","","","","19320421",",2,6","-5.0","4,6,16,+","","","","","","","23.9","2,6,21,","","","","","309.6","2,6","","","","","","","","","6.27","5,6","12.09","2,,,6","0.45","4,,,6","",""
"USC00364325","1932-05","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","15.6","5,6","","","","","","","","","","","0","4,6","3","4,6","0","1,6","15","1,6","0","1,6","","","19320502",",4,6","","","","","","","19320526","+,1,6","-3.3","4,6,02,","","","","","","","28.3","1,6,26,+","","","","","126.4","1,6","","","","","","","","","14.00","5,6","20.73","1,,,6","7.27","4,,,6","",""
"USC00364325","1932-06","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","59.1",",6","","","","","","","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","","","19320608",",,6","","","","","","","19320620",",,6","1.1",",6,08,","","","","","","","31.1",",6,20,","","","","","41.6",",6","","","","","","","","","18.92",",6","25.76",",,,6","12.07",",,,6","",""
"USC00364325","1932-07","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","58.1","2,6","","","","","","","","","","","0","2,6","0","2,6","0","1,6","29","1,6","2","1,6","","","19320704",",2,6","","","","","","","19320719",",1,6","7.2","2,6,04,","","","","","","","33.3","1,6,19,","","","22.8","6","22.8","1,6","","","","","","","","","19.58","2,6","26.43","1,,,6","12.74","2,,,6","",""
"USC00364325","1932-08","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","61.4","1,6","","","","","","","","","","","0",",6","0",",6","0","1,6","29","1,6","1","1,6","","","19320820",",,6","","","","","","","19320831",",1,6","5.6",",6,20,","","","","","","","32.2","1,6,31,","","","44.7","6","21.9","1,6","","","","","","","","","19.63","1,6","26.96","1,,,6","12.29",",,,6","",""
"USC00364325","1932-09","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","45.9",",6","","","","","","","","","","","0",",6","1",",6","0",",6","19",",6","1",",6","","","19320924",",,6","","","","","","","19320901",",,6","0.0",",6,24,","","","","","","","32.8",",6,01,","","","139.0","6","94.3",",6","","","","","","","","","16.72",",6","23.91",",,,6","9.53",",,,6","",""
"USC00364325","1932-10","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","2.8","1,6","","","","","","","","","","","0","1,6","4","1,6","0",",6","12",",6","0",",6","","","19321013",",1,6","","","","","","","19321004",",,6","-2.2","1,6,13,","","","","","","","25.0",",6,04,","","","349.4","6","210.4",",6","","","","","","","","","11.29","1,6","16.44",",,,6","6.15","1,,,6","",""
"USC00364325","1932-11","41.4992","-80.4681","312.4","JAMESTOWN 2 NW, PA US","","","0.0","3,6","","","","","","","","","","","0","1,6","22","1,6","2","2,6","0","2,6","0","2,6","","","19321127",",1,6","","","","","","","19321107",",2,6","-11.1","1,6,27,","","","","","","","17.8","2,6,07,","","","769.9","6","420.5","2,6","","","","","","","","","2.45","3,6","7.45","2,,,6","-2.54","1,,,6","",""
