"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00369500","1893-01","39.933333","-75.55","106.7","WESTTOWN, PA US","","","","","3","1,6","3","1,6","1","1,6","","","","","","","","","","","","","","","","","","","","","","","18930101",",1,6","","","","","","","","","44.5","1,,6,01,","","","","","61.1","1,,,6","","","","","","","",""
"USC00369500","1893-02","39.933333","-75.55","106.7","WESTTOWN, PA US","","","0.0","2,6","4",",6","4",",6","2",",6","","","1",",6","0","1,6","26","1,6","6","1,6","0","1,6","0","1,6","","","18930221","+,1,6","","","18930218",",,6","18930212",",,6","18930215",",1,6","-15.0","1,6,21,+","","","178",",,6,18,","38.1",",,6,12,","11.7","1,6,15,","504.0","1,6","100.4",",,,6","178",",,,6","-1.07","2,6","3.29","1,,,6","-5.44","1,,,6"
"USC00369500","1893-03","39.933333","-75.55","106.7","WESTTOWN, PA US","","","0.0",",6","","","","","","","","","","","0",",6","21",",6","3",",6","0",",6","0",",6","","","18930316","+,,6","","","","","","","18930314",",,6","-9.4",",6,16,+","","","","","","","16.1",",6,14,","501.8",",6","","","","","2.15",",6","6.87",",,,6","-2.58",",,,6"
"USC00369500","1893-05","39.933333","-75.55","106.7","WESTTOWN, PA US","","","9.8",",6","6",",6","5",",6","1",",6","","","","","0",",6","1",",6","0",",6","15",",6","0",",6","","","18930501",",,6","","","","","18930505",",,6","18930523",",,6","-1.1",",6,01,","","","","","44.5",",,6,05,","30.6",",6,23,","129.4",",6","80.1",",,,6","","","14.47",",6","20.32",",,,6","8.63",",,,6"
"USC00369500","1893-06","39.933333","-75.55","106.7","WESTTOWN, PA US","","","81.6","1,6","4",",6","4",",6","0",",6","","","","","0","1,6","0","1,6","0","1,6","25","1,6","3","1,6","","","18930613",",1,6","","","","","18930606",",,6","18930620",",1,6","11.7","1,6,13,","","","","","15.2",",,6,06,","35.0","1,6,20,","8.4","1,6","33.0",",,,6","","","20.86","1,6","26.21","1,,,6","15.51","1,,,6"
"USC00369500","1893-10","39.933333","-75.55","106.7","WESTTOWN, PA US","","","0.0","3,6","","","","","","","","","","","0","3,6","3","3,6","0","3,6","8","3,6","0","3,6","","","18931031","+,3,6","","","","","","","18931010",",3,6","-2.2","3,6,31,+","","","","","","","26.7","3,6,10,","169.5","3,6","","","","","12.28","3,6","17.60","3,,,6","6.96","3,,,6"
"USC00369500","1893-12","39.933333","-75.55","106.7","WESTTOWN, PA US","","","0.0","4,6","8","1,6","8","1,6","0","1,6","","","","","0","4,6","24","4,6","5","4,6","0","4,6","0","4,6","","","18931214",",4,6","","","","","18931216",",1,6","18931225",",4,6","-11.7","4,6,14,","","","","","18.5","1,,6,16,","16.1","4,6,25,","477.5","4,6","78.0","1,,,6","","","0.65","4,6","4.96","4,,,6","-3.67","4,,,6"
"USC00369500","1894-01","39.933333","-75.55","106.7","WESTTOWN, PA US","","","","","5",",6","4",",6","0",",6","","","2",",6","","","","","","","","","","","","","","","","","18940126",",,6","18940130",",,6","","","","","","","51",",,6,26,","24.1",",,6,30,","","","","","35.3",",,,6","89",",,,6","","","","","",""
"USC00369500","1894-02","39.933333","-75.55","106.7","WESTTOWN, PA US","","","0.0","3,6","9","2,6","8","2,6","1","2,6","","","","","0","2,6","22","2,6","6","2,6","0","2,6","0","2,6","","","18940225",",2,6","","","","","18940226",",2,6","18940218","+,2,6","-16.7","2,6,25,","","","","","26.2","2,,6,26,","11.1","2,6,18,+","501.6","2,6","101.4","2,,,6","","","-1.68","3,6","2.57","2,,,6","-5.94","2,,,6"
"USC00369500","1894-03","39.933333","-75.55","106.7","WESTTOWN, PA US","","","0.0",",6","10",",6","7",",6","0",",6","","","","","0",",6","12",",6","2",",6","2",",6","0",",6","","","18940327",",,6","","","","","18940323",",,6","18940322",",,6","-7.8",",6,27,","","","","","11.7",",,6,23,","25.0",",6,22,","365.8",",6","40.6",",,,6","","","6.53",",6","11.85",",,,6","1.22",",,,6"
